hash Default $G^1_4$ $G^1_5$ AF 
0.708 0.707855125102 0.848675292421 0.858879851457 0.958556355488
0.71 0.709854715851 0.850939382636 0.861042491584 0.958937937692
0.712 0.7118543066 0.853182567659 0.863181597325 0.959317677151
0.714 0.713853897349 0.855404814533 0.865297219174 0.959695587166
0.716 0.715853488098 0.857606094861 0.867389413684 0.960071680917
0.718 0.717853078846 0.859786384846 0.869458243429 0.960445971551
0.72 0.719852669595 0.861945665232 0.871503776796 0.960818471913
0.722 0.721852260344 0.864083921336 0.873526088055 0.961189194888
0.724 0.723851851093 0.866201143068 0.875525257238 0.961558153149
0.726 0.725851441842 0.868297324844 0.877501369956 0.961925359347
0.728 0.727851032591 0.870372465688 0.879454517498 0.962290825859
0.73 0.72985062334 0.872426569121 0.881384796534 0.962654565013
0.732 0.731850214089 0.874459643278 0.883292309276 0.963016589121
0.734 0.733849804837 0.876471700719 0.885177163056 0.96337691026
0.736 0.735849395586 0.878462758508 0.887039470467 0.963735540439
0.738 0.737848986335 0.880432838232 0.888879349204 0.964092491429
0.74 0.739848577084 0.882381965932 0.890696921915 0.96444777511
0.742 0.741848167833 0.884310172022 0.892492316081 0.964801403157
0.744 0.743847758582 0.886217491363 0.894265663951 0.965153387078
0.746 0.745847349331 0.888103963206 0.896017102401 0.965503738322
0.748 0.74784694008 0.889969631106 0.897746772789 0.965852468171
0.75 0.749846530828 0.891814542916 0.899454820826 0.966199587941
0.752 0.751846121577 0.893638750844 0.901141396571 0.96654510876
0.754 0.753845712326 0.895442311195 0.902806654023 0.966889041656
0.756 0.755845303075 0.897225284576 0.904450751322 0.967231397487
0.758 0.757844893824 0.898987735647 0.906073850329 0.96757218715
0.76 0.759844484573 0.900729733248 0.907676116693 0.96791142137
0.762 0.761844075322 0.902451350173 0.909257719551 0.968249110726
0.764 0.763843666071 0.904152663283 0.9108188315 0.968585265763
0.766 0.765843256819 0.905833753349 0.912359628394 0.968919896943
0.768 0.767842847568 0.907494705033 0.913880289207 0.969253014643
0.77 0.769842438317 0.909135606792 0.915380995856 0.969584628999
0.772 0.771842029066 0.910756550859 0.9168619331 0.96991475024
0.774 0.773841619815 0.91235763318 0.918323288381 0.970243388482
0.776 0.775841210564 0.913938953326 0.919765251594 0.97057055355
0.778 0.777840801313 0.915500614392 0.921188015022 0.970896255484
0.78 0.779840392062 0.917042722982 0.922591773117 0.971220504019
0.782 0.78183998281 0.918565389122 0.923976722378 0.971543308882
0.784 0.783839573559 0.920068726187 0.925343061205 0.971864679606
0.786 0.785839164308 0.921552850754 0.926690989626 0.97218462589
0.788 0.787838755057 0.923017882668 0.928020709316 0.972503157029
0.79 0.789838345806 0.924463944807 0.929332423307 0.972820282494
0.792 0.791837936555 0.925891163077 0.93062633582 0.97313601152
0.794 0.793837527304 0.927299666288 0.931902652181 0.973450353317
0.796 0.795837118053 0.928689586185 0.933161578666 0.973763317019
0.798 0.797836708801 0.93006105713 0.934403322189 0.974074911727
0.8 0.79983629955 0.931414216222 0.935628090341 0.974385146282
0.802 0.801835890299 0.93274920308 0.93683609107 0.974694029703
0.804 0.803835481048 0.934066159805 0.938027532631 0.975001570728
0.806 0.805835071797 0.93536523087 0.939202623349 0.975307778157
0.808 0.807834662546 0.936646562954 0.940361571488 0.975612660502
